24 72
0  1  $
0  2  lambda
2  3  !
3  4  !
2  22 :
0  5  SPACE
0  5  NEW_LINE
5  5  SPACE
5  5  NEW_LINE
5  6  lambda
0  7  lambda
7  8  a
8  9  l
9  10 l
7  11 c
11 12 l
12 13 e
13 14 a
14 23 n
0  15 #
15 15 0
15 15 1
15 15 c
15 15 l
15 15 e
15 15 a
15 15 n
15 15 b
15 15 d
15 15 SPACE
15 15 #
15 15 !
15 15 :
15 16 lambda
15 17 SLASH
17 15 0
17 15 1
17 15 c
17 15 l
17 15 e
17 15 a
17 15 n
17 15 b
17 15 d
17 15 SPACE
17 15 #
17 15 !
17 15 :
17 15 NEW_LINE 
17 16 lambda
0  18 lambda
18 19 c
18 19 l
18 19 e
18 19 a
18 19 n
18 19 d
18 19 b
19 19 c
19 19 l
19 19 e
19 19 a
19 19 n
19 19 d
19 19 b
19 19 0
19 19 1
0  20 lambda
20 21 0
20 21 1
21 21 0
21 21 1
0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1
0
